,count_of_words_having_this_feature
move,330
change,271
urban center,199
city,199
metropolis,199
go,181
alter,179
individual,129
human,129
soul,129
person,128
somebody,128
someone,128
mortal,128
be,127
take,125
travel,123
position,106
material,102
locomote,102
set,100
