,count_of_words_having_this_feature
move,479
change,374
go,244
alter,239
activity,210
take,209
individual,202
soul,202
human,201
mortal,201
someone,201
somebody,201
person,201
be,189
position,186
travel,183
work,157
place,152
set,152
turn,147
quality,142
make,142
locomote,139
play,138
material,136
part,135
motion,134
utter,131
sound,129
movement,129
assemblage,124
pass,122
cover,122
state,117
line,116
support,114
structure,114
form,111
hit,109
substance,109
give,107
supply,104
hold,102
