,count_of_words_having_this_feature
move,281
change,235
city,186
metropolis,185
urban center,184
alter,157
go,147
person,122
someone,122
human,122
soul,122
somebody,121
individual,121
take,121
mortal,121
material,112
position,107
be,107
travel,106
